Participant,TrialNumber,Condition,Success,NumberOfTouches,NumberLateralChangesOfDirection,Duration,TimingBetweenLastTouchAndPass,AverageInterpersonalDistance,AverageInterpersonalDistanceAtPassTime
12,11,Interaction,False,3,1,1.8,0.9,3.94,2.48
12,12,Interaction,False,3,0,1.9,0.9,4.11,2.52
12,13,Interaction,False,4,4,4.3,1.0,3.62,3.45
12,14,Interaction,True,6,6,6.9,0.9,3.5,3.03
12,16,Interaction,False,3,3,2.5,1.1,3.92,3.18
12,17,Interaction,False,3,2,2.6,0.9,3.84,3.06
12,18,Interaction,True,6,4,5.6,1.0,3.43,2.95
12,7,Interaction,False,3,0,2.4,0.9,3.99,2.91
12,8,Interaction,False,3,2,2.6,0.4,3.85,2.92
12,10,NoInteraction,True,3,1,2.0,1.2,3.67,2.08
12,11,NoInteraction,True,2,0,1.3,1.3,4.67,3.3
12,12,NoInteraction,True,2,0,1.7,1.7,4.33,2.85
12,13,NoInteraction,True,2,1,1.4,1.4,4.88,3.2
12,14,NoInteraction,True,2,0,1.4,1.4,5.02,3.32
12,4,NoInteraction,True,2,0,1.7,1.7,4.78,3.18
12,5,NoInteraction,True,2,0,1.9,1.9,4.84,2.86
12,6,NoInteraction,True,2,0,1.3,1.3,4.81,3.22
12,7,NoInteraction,True,2,0,1.2,1.2,5.06,3.62
12,9,NoInteraction,True,2,0,1.8,1.8,3.98,2.63
12,10,NoOpponent,True,2,0,2.1,2.1,0,0
12,1,NoOpponent,True,2,0,1.4,1.4,0,0
12,2,NoOpponent,True,2,2,1.6,1.6,0,0
12,3,NoOpponent,True,2,0,1.4,1.4,0,0
12,4,NoOpponent,True,2,1,1.1,1.1,0,0
12,5,NoOpponent,True,2,0,1.4,1.4,0,0
12,6,NoOpponent,True,2,0,1.3,1.3,0,0
12,7,NoOpponent,True,2,0,1.3,1.3,0,0
12,8,NoOpponent,True,2,0,1.2,1.2,0,0
12,9,NoOpponent,True,2,0,1.2,1.2,0,0
13,10,InSitu,True,9,3,7.9,0.3,3.31,2.09
13,1,InSitu,False,5,3,3.8,0.5,3.66,2.18
13,2,InSitu,True,5,3,2.9,0.6,4.33,1.96
13,3,InSitu,False,6,2,3.1,0.5,4.02,1.96
13,4,InSitu,True,4,2,2.0,0.7,4.65,2.12
13,5,InSitu,False,5,0,2.6,0.3,3.92,0.99
13,6,InSitu,True,11,5,8.0,0.5,3.33,1.84
13,7,InSitu,True,4,1,2.8,0.4,3.4,1.99
13,8,InSitu,True,6,3,3.3,0.3,4.09,1.66
13,9,InSitu,True,7,1,3.7,0.8,3.35,1.87
13,11,Interaction,False,5,1,2.6,0.7,4.43,3.48
13,12,Interaction,True,6,2,3.6,0.6,4.03,3.34
13,13,Interaction,False,5,3,3.6,1.1,3.67,3.02
13,14,Interaction,True,6,2,3.1,0.7,3.84,3.37
13,16,Interaction,True,5,2,2.6,0.5,3.77,2.96
13,19,Interaction,True,5,1,2.5,0.8,3.69,2.91
13,20,Interaction,False,9,2,5.5,1.3,3.56,3.58
13,21,Interaction,True,5,1,2.3,0.7,3.94,3.09
13,6,Interaction,False,5,1,2.2,0.9,3.56,3.08
13,9,Interaction,False,3,1,2.7,1.2,4.54,2.33
13,10,NoInteraction,True,3,2,1.8,0.9,4.45,2.97
