Participant,TrialNumber,Condition,Success,NumberOfTouches,NumberLateralChangesOfDirection,Duration,TimingBetweenLastTouchAndPass,AverageInterpersonalDistance,AverageInterpersonalDistanceAtPassTime
16,4,InSitu,True,4,2,2.9,1.8,4.6,2.42
16,7,InSitu,False,3,0,1.8,1.1,3.92,1.81
16,9,InSitu,False,2,1,0.9,0.9,5.11,3.85
2,21,InSitu,True,3,2,1.8,1.2,4.85,3.19
2,22,InSitu,True,5,6,3.5,0.3,3.01,1.81
2,23,InSitu,False,10,3,6.4,0.7,3.08,1.36
2,24,InSitu,False,3,3,2.6,1.8,4.3,1.83
2,26,InSitu,False,6,2,3.9,0.7,4.07,2.23
2,27,InSitu,False,5,1,1.7,0.2,4.46,2.18
2,28,InSitu,False,14,5,8.9,0.5,2.86,2.0
2,29,InSitu,True,3,1,1.6,0.9,4.39,2.54
2,10,Interaction,True,7,2,3.6,0.8,3.49,2.89
2,12,Interaction,False,7,2,4.2,0.5,3.58,3.31
2,13,Interaction,True,5,2,3.4,0.9,3.91,2.96
2,15,Interaction,True,6,3,3.8,0.9,3.77,3.28
2,17,Interaction,False,9,4,6.7,1.1,3.54,2.97
2,18,Interaction,True,5,2,3.0,0.6,3.58,3.22
2,19,Interaction,False,5,2,3.2,0.8,3.9,3.12
2,20,Interaction,False,5,2,2.8,0.6,3.24,2.68
2,8,Interaction,True,5,2,2.6,0.8,3.64,3.22
2,9,Interaction,False,6,1,3.1,0.9,3.21,3.67
2,10,NoInteraction,True,4,2,2.9,0.5,4.39,2.68
2,12,NoInteraction,True,4,2,2.2,0.8,4.3,2.57
2,13,NoInteraction,True,3,0,2.3,0.8,4.46,2.56
2,14,NoInteraction,True,3,1,3.1,1.1,4.39,2.65
2,16,NoInteraction,True,3,2,1.9,1.1,4.23,2.48
2,17,NoInteraction,True,3,2,2.3,0.9,4.48,2.65
2,5,NoInteraction,True,3,1,2.3,1.2,4.17,2.8
2,7,NoInteraction,True,5,1,2.5,0.8,3.99,2.51
2,8,NoInteraction,True,3,0,2.0,0.9,4.68,2.47
2,9,NoInteraction,True,3,2,2.4,0.9,4.61,2.64
2,10,NoOpponent,True,3,0,1.3,1.0,0,0
2,11,NoOpponent,True,2,0,1.0,1.0,0,0
2,2,NoOpponent,True,3,0,1.7,1.0,0,0
2,3,NoOpponent,True,3,1,1.8,1.5,0,0
2,4,NoOpponent,True,4,0,1.8,0.8,0,0
2,5,NoOpponent,True,3,1,1.8,1.3,0,0
2,6,NoOpponent,True,2,1,1.6,1.6,0,0
2,7,NoOpponent,True,2,0,1.1,1.1,0,0
2,8,NoOpponent,True,3,2,1.7,1.3,0,0
2,9,NoOpponent,True,2,1,1.4,1.4,0,0
3,11,InSitu,False,7,1,4.4,0.6,3.36,2.44
3,12,InSitu,True,7,1,4.0,0.4,3.63,2.75
3,13,InSitu,False,2,1,0.8,0.8,5.69,4.5
3,14,InSitu,False,4,2,1.9,0.5,2.04,3.17
3,15,InSitu,False,7,2,3.4,0.4,4.11,2.51
3,16,InSitu,False,7,3,4.6,0.6,3.37,1.86
3,17,InSitu,False,9,4,5.0,0.4,3.43,2.31
3,18,InSitu,True,11,3,5.2,0.3,3.2,2.11
3,19,InSitu,True,4,0,1.6,0.5,4.72,2.63
3,10,Interaction,False,5,4,3.7,1.1,3.61,2.79
3,11,Interaction,False,5,2,2.9,0.6,3.49,3.27
3,13,Interaction,True,4,2,2.6,1.0,3.67,2.99
3,14,Interaction,True,5,2,3.1,0.5,3.67,3.71
3,15,Interaction,True,4,2,2.6,1.0,3.62,3.01
3,19,Interaction,True,4,2,2.4,1.0,3.7,2.76
3,5,Interaction,False,4,3,2.9,0.6,3.81,2.83
3,6,Interaction,False,5,3,3.3,0.9,3.57,3.14
3,7,Interaction,False,7,4,4.4,0.5,3.62,2.83
3,8,Interaction,False,5,2,2.9,0.8,3.75,3.18
3,10,NoInteraction,True,3,2,2.9,1.6,4.16,2.07
3,11,NoInteraction,True,3,0,1.8,0.9,4.04,2.85
3,12,NoInteraction,True,3,0,1.9,0.8,4.51,2.83
3,13,NoInteraction,True,3,1,2.3,0.8,3.81,2.08
3,4,NoInteraction,True,3,2,2.1,1.1,4.57,2.67
3,5,NoInteraction,True,3,3,2.0,1.1,4.18,2.58
3,6,NoInteraction,True,4,3,2.0,0.4,4.4,2.85
3,7,NoInteraction,True,3,2,2.4,1.4,4.53,2.58
3,8,NoInteraction,True,3,1,2.2,0.7,3.96,2.11
3,9,NoInteraction,True,4,2,2.1,0.8,4.17,2.74
3,10,NoOpponent,True,2,1,1.7,1.7,0,0
3,12,NoOpponent,True,3,2,2.1,1.0,0,0
3,2,NoOpponent,True,3,2,2.0,1.2,0,0
3,3,NoOpponent,True,3,1,2.0,1.0,0,0
3,4,NoOpponent,True,3,0,1.9,0.9,0,0
3,5,NoOpponent,True,3,1,1.8,1.0,0,0
3,6,NoOpponent,True,3,2,1.9,1.0,0,0
3,7,NoOpponent,True,4,0,1.8,0.4,0,0
3,8,NoOpponent,True,4,1,2.3,1.3,0,0
3,9,NoOpponent,True,3,1,1.8,0.7,0,0
4,10,InSitu,False,7,3,6.7,1.4,2.78,1.94
4,11,InSitu,False,9,5,7.2,0.3,2.59,1.65
4,2,InSitu,False,4,1,2.1,0.2,5.46,2.59
4,3,InSitu,False,4,2,3.2,0.3,3.85,2.21
4,4,InSitu,False,3,1,2.9,1.6,4.12,2.04
4,5,InSitu,False,4,1,2.8,0.3,3.71,1.82
4,6,InSitu,False,3,2,2.8,0.3,3.87,2.0
4,7,InSitu,False,4,1,1.9,0.3,4.36,1.95
4,8,InSitu,False,6,5,5.4,0.3,2.99,1.65
4,9,InSitu,True,4,3,4.2,1.2,3.2,1.12
4,11,Interaction,False,2,3,2.8,2.8,3.76,2.57
4,13,Interaction,False,4,0,2.0,0.6,4.34,2.57
4,15,Interaction,False,3,0,1.9,0.4,4.21,2.47
4,16,Interaction,False,3,3,3.0,0.3,3.39,2.61
4,17,Interaction,False,3,1,2.1,0.5,3.83,2.61
4,18,Interaction,False,3,1,2.0,0.4,3.75,1.95
4,19,Interaction,False,3,1,2.3,0.5,3.7,2.71
4,22,Interaction,True,4,1,2.1,0.8,3.9,2.5
4,8,Interaction,False,3,2,2.5,0.5,3.73,2.64
4,9,Interaction,False,3,3,2.4,1.6,3.79,2.77
4,10,NoInteraction,True,4,0,1.7,0.4,4.54,2.97
4,11,NoInteraction,True,3,0,1.2,0.2,4.73,3.12
4,1,NoInteraction,True,2,0,1.4,1.4,4.93,3.14
4,2,NoInteraction,True,3,1,1.9,0.9,4.53,2.59
4,4,NoInteraction,True,3,0,1.4,0.6,4.82,3.18
4,5,NoInteraction,True,2,1,1.5,1.5,4.58,2.88
4,6,NoInteraction,True,3,0,1.6,0.3,5.42,3.33
4,7,NoInteraction,True,3,1,1.7,0.3,4.59,2.8
4,8,NoInteraction,True,2,0,1.7,1.7,4.67,3.15
4,9,NoInteraction,True,4,1,1.4,0.3,4.74,3.16
4,10,NoOpponent,True,2,1,0.9,0.9,0,0
4,11,NoOpponent,True,2,0,0.8,0.8,0,0
4,13,NoOpponent,True,2,1,1.0,1.0,0,0
4,14,NoOpponent,True,2,0,1.1,1.1,0,0
4,4,NoOpponent,True,3,1,1.3,0.4,0,0
4,5,NoOpponent,True,2,0,0.9,0.9,0,0
4,6,NoOpponent,True,2,1,1.0,1.0,0,0
4,7,NoOpponent,True,2,0,1.1,1.1,0,0
4,8,NoOpponent,True,2,1,1.1,1.1,0,0
4,9,NoOpponent,True,2,0,1.0,1.0,0,0
5,12,InSitu,False,3,0,1.4,0.5,4.3,1.73
5,13,InSitu,False,7,3,4.6,1.1,3.18,2.38
5,14,InSitu,False,5,1,2.2,0.5,4.14,1.75
5,15,InSitu,False,2,0,1.3,1.3,4.51,2.48
5,16,InSitu,True,12,5,8.5,0.4,2.65,1.31
5,17,InSitu,False,4,1,1.9,0.6,3.66,1.38
5,19,InSitu,False,3,0,1.2,0.5,4.7,2.41
5,20,InSitu,False,5,1,1.7,0.4,4.69,2.1
5,21,InSitu,True,4,2,2.2,0.5,4.06,1.67
5,22,InSitu,False,3,0,1.4,0.6,5.36,3.32
5,10,Interaction,False,5,2,3.0,0.7,3.55,3.02
5,11,Interaction,True,9,4,5.6,0.7,3.77,3.26
5,13,Interaction,True,5,2,2.5,0.4,3.9,2.65
5,14,Interaction,False,5,1,2.3,0.3,3.63,2.54
5,17,Interaction,False,3,1,2.0,0.8,4.04,2.03
5,18,Interaction,False,10,4,5.9,0.6,3.83,2.79
5,3,NoInteraction,True,4,0,1.8,0.7,5.02,2.94
5,5,Interaction,False,4,1,1.8,0.5,4.46,2.23
5,7,Interaction,False,5,1,3.0,0.5,3.75,3.59
5,9,Interaction,True,6,1,2.8,0.7,4.08,2.88
5,11,NoInteraction,True,4,1,2.6,1.8,4.51,2.83
5,12,NoInteraction,True,5,1,2.0,0.8,4.6,3.34
5,14,NoInteraction,True,3,0,1.4,0.7,4.4,2.56
5,4,NoInteraction,True,3,0,1.4,0.6,4.71,2.96
5,5,NoInteraction,True,3,1,1.8,1.3,4.37,3.14
5,6,NoInteraction,True,2,0,2.1,2.1,4.19,2.75
5,7,NoInteraction,True,5,1,2.2,0.6,4.33,2.49
5,8,NoInteraction,True,4,1,2.1,0.6,3.72,2.68
5,9,NoInteraction,True,3,0,1.6,0.8,4.76,3.1
5,10,NoInteraction,True,3,0,1.4,1.0,4.41,2.66
5,10,NoOpponent,True,3,0,0.8,0.4,0,0
5,11,NoOpponent,True,2,0,1.0,1.0,0,0
5,12,NoOpponent,True,4,0,1.7,0.8,0,0
5,13,NoOpponent,True,3,1,1.2,0.6,0,0
5,1,NoOpponent,True,2,0,1.2,1.2,0,0
5,2,NoOpponent,True,2,0,0.7,0.7,0,0
5,3,NoOpponent,True,2,0,0.8,0.8,0,0
5,4,NoOpponent,True,4,2,2.8,0.3,0,0
5,5,NoOpponent,True,2,0,0.6,0.6,0,0
5,7,NoOpponent,True,3,1,1.6,0.7,0,0
5,8,NoOpponent,True,3,0,1.4,1.0,0,0
5,9,NoOpponent,True,3,1,1.3,0.9,0,0
6,10,InSitu,False,16,7,15.7,1.3,2.49,1.84
6,1,InSitu,False,7,2,4.3,0.7,3.38,1.64
6,5,InSitu,False,5,0,1.9,0.7,4.79,2.67
6,6,InSitu,False,10,3,7.9,0.4,3.22,1.63
6,7,InSitu,False,13,6,10.3,0.5,2.55,2.32
7,11,InSitu,False,4,3,2.4,0.9,4.29,2.63
7,12,InSitu,False,4,1,1.9,0.4,4.44,1.8
